STT,TRANG  ,CHß╗¿C N─éNG,,TRß║áNG TH├üI,HIß╗åN TRß║áNG,MONG MUß╗ÉN,TRß║áNG TH├üI,PH├éN C├öNG,NG├ÇY DONE
37,,-Th├┤ng tin chi tiß║┐t sß║ún phß║⌐m,,─Éß║ít y├¬u cß║ºu,- Ho├án th├ánh,"- Trang hiß╗ân thß╗ï ─æß║ºy ─æß╗º t├¬n sß║ún phß║⌐m, th╞░╞íng hiß╗çu, gi├í b├ín, gi├í gß╗æc (nß║┐u ─æang giß║úm), t├¼nh trß║íng c├▓n 
h├áng/hß║┐t h├áng v├á m├┤ tß║ú sß║ún phß║⌐m. Th├┤ng sß╗æ kß╗╣ thuß║¡t ─æ╞░ß╗úc liß╗çt k├¬ r├╡ r├áng trong phß║ºn ri├¬ng b├¬n d╞░ß╗¢i m├┤ tß║ú.",,,
38,,- Upload Gallery ß║únh sß║ún phß║⌐m,,─Éß║ít y├¬u cß║ºu,- Ho├án th├ánh,-Trang hiß╗ân thß╗ï ß║únh ch├¡nh lß╗¢n k├¿m h├áng ß║únh thu nhß╗Å b├¬n d╞░ß╗¢i. Nhß║Ñn v├áo ß║únh thu nhß╗Å n├áo th├¼ ß║únh ch├¡nh ─æß╗òi sang ß║únh ─æ├│ ngay lß║¡p tß╗⌐c. Nß║┐u sß║ún phß║⌐m kh├┤ng c├│ ß║únh hoß║╖c ß║únh bß╗ï lß╗ùi th├¼ hiß╗ân thß╗ï ß║únh mß║╖c ─æß╗ïnh thay thß║┐ thay v├¼ ─æß╗â vß╗í khung.,,,
39,,- Chß╗ìn size v├á m├áu sß║»c sß║ún phß║⌐m,,─Éß║ít y├¬u cß║ºu,- Ho├án th├ánh,"- Danh s├ích size v├á m├áu lß║Ñy ─æß╗Öng tß╗½ c╞í sß╗ƒ dß╗» liß╗çu, hiß╗ân thß╗ï dß║íng n├║t bß║Ñm trß╗▒c quan. Khi chß╗ìn mß╗Öt size hoß║╖c m├áu, sß╗æ l╞░ß╗úng tß╗ôn kho c├▓n lß║íi cß║¡p nhß║¡t t╞░╞íng ß╗⌐ng. C├íc lß╗▒a chß╗ìn hß║┐t h├áng ─æ╞░ß╗úc hiß╗ân thß╗ï mß╗¥ v├á kh├┤ng cho bß║Ñm.",,,
40,,- Button prev/next h├¼nh ß║únh sß║ún phß║⌐m,,Cß║⌐n cß║úi thiß╗çn,-  N├║t prev/next ch╞░a thß╗▒c hiß╗çn ─æ╞░ß╗úc chß╗⌐c n─âng,"- Khi click v├áo n├║t prev/next c├│ thß╗â chuyß╗ân ß║únh sang tr├íi/phß║úi trong bß╗Ö gallery ß║únh cß╗ºa sß║ún phß║⌐m. ─Éang ß╗ƒ ß║únh ─æß║ºu th├¼ n├║t tr├íi mß╗¥ kh├┤ng bß║Ñm ─æ╞░ß╗úc, ─æang ß╗ƒ ß║únh cuß╗æi th├¼ ng╞░ß╗úc lß║íi. Thumbnail t╞░╞íng ß╗⌐ng c┼⌐ng tß╗▒ ─æß╗Öng ─æ╞░ß╗úc ─æ├ính dß║Ñu ─æang chß╗ìn.",,,
41,,- Zoom ß║únh sß║ún phß║⌐m,,Cß║⌐n cß║úi thiß╗çn,- ß║ónh ─æ╞░ß╗úc zoom chi tiß║┐t ─æang to tr├án ra viß╗ün -> dß║½n ─æß║┐n kh├┤ng xem chi tiß║┐t ─æ╞░ß╗úc sß║ún phß║⌐m,"- Khi hover chuß╗Öt v├áo ß║únh sß║ún phß║⌐m ch├¡nh, mß╗Öt khung h├¼nh vu├┤ng b├ím theo con trß╗Å hiß╗ân thß╗ï v├╣ng ß║únh ─æ╞░ß╗úc ph├│ng to r├╡ n├⌐t gi├║p xem chi tiß║┐t . Khung zoom hiß╗ân thß╗ï gß╗ìn trong v├╣ng cß╗æ ─æß╗ïnh b├¬n cß║ính, kh├┤ng tr├án ra ngo├ái hay che khuß║Ñt th├┤ng tin kh├íc.",,,
42,,- ─É├ính gi├í sß║ún phß║⌐m,,Cß║⌐n cß║úi thiß╗çn,- Kiß╗âm tra ─æ─âng nhß║¡p c├│ lß║╜ ─æang gß╗ìi sai biß║┐n dß║½n ─æß║┐n kh├┤ng hiß╗ân thß╗ï form viß║┐t ─æ├ính gi├í d├╣ user ─æ├ú ─æ─âng nhß║¡p,"- Sß╗¡a lß║íi  roles_users ─æß╗â hß╗ç thß╗æng nhß║¡n diß╗çn ─æ├║ng current_user ─æang ─æ─âng nhß║¡p. Sau khi sß╗¡a, form viß║┐t ─æ├ính gi├í tß╗▒ hiß╗ân thß╗ï ─æ├║ng vß╗¢i nhß╗»ng ai ─æß╗º ─æiß╗üu kiß╗çn (─æ├ú ─æ─âng nhß║¡p v├á ─æ├ú mua sß║ún phß║⌐m ─æ├│).",,,
43,,- Start Rating,,Cß║ºn cß║úi thiß╗çn,"- Click ─æ├ính gi├í hiß╗çn tß║íi chß╗ë l╞░u lß║íi DB ngay trß╗▒c tiß║┐p l├║c ─æ├│, ch╞░a ─æ├║ng so vß╗¢i phß║ºn ─æiß╗âm ─æ├ính gi├í ß╗ƒ d╞░ß╗¢i phß║ºn b├¼nh luß║¡n",- Kß║┐t nß╗æi hiß╗ân thß╗ï sao vß╗¢i ─æiß╗âm trung b├¼nh thß╗▒c tß║┐ t├¡nh tß╗½ dß╗» liß╗çu ─æ├ính gi├í ─æ├ú ─æ╞░ß╗úc duyß╗çt.,,,
44,Giß╗Å h├áng,- Giao diß╗çn trang giß╗Å h├áng,,Cß║ºn cß║úi thiß╗çn,"- N├║t ""MUA NGAY - GIAO H├ÇNG THANH TO├üN"" bß╗ï thß╗½a (lß║╖p lß║íi vß╗¢i n├║t Mua ngay), bß╗æ cß╗Ñc n├║t bß║Ñm ch╞░a tß╗æi ╞░u chiß║┐m nhiß╗üu diß╗çn t├¡ch.","- Loß║íi bß╗Å c├íc n├║t d╞░ thß╗½a. Gß╗Öp nh├│m c├íc n├║t h├ánh ─æß╗Öng (Mua ngay, Trß║ú g├│p) v├áo mß╗Öt khu vß╗▒c cß╗æ ─æß╗ïnh ─æß╗â ng╞░ß╗¥i d├╣ng dß╗à nh├¼n thß║Ñy tß╗òng chi ph├¡ v├á thanh to├ín ngay.",done,phong,14/4
45,,- Xem th├┤ng tin sß║ún phß║⌐m trong giß╗Å h├áng,,Cß║ºn cß║úi thiß╗çn,- Kh├┤ng xem chi tiß║┐t ─æ╞░ß╗úc sß║ún phß║⌐m khi ß║Ñn v├áo sß║ún phß║⌐m.,- Khi ß║Ñn v├┤ sß║ún phß║⌐m trong giß╗Å h├áng c├│ thß╗â ─æiß╗üu h╞░ß╗¢ng vß╗ü trang chß╗⌐a th├┤ng tin chi tiß║┐t cß╗ºa sß║ún phß║⌐n ─æ├│,done,phong,27/4
46,,- Trß║ú g├│p,,Th├¬m mß╗¢i,- Hiß╗çn tß║íi trang web ch╞░a c├│ chß╗⌐c n─âng n├áy trong ß╗⌐ng dß╗Ñng.,- Th├¬m 1 trang h╞░ß╗¢ng dß║½n trß║ú g├│p. Khi ng╞░ß╗¥i d├╣ng muß╗æn sß╗¡ dungj dß╗ïch vß╗Ñ trß║ú g├│p th├¼ sß║╜ ─æ╞░ß╗úc li├¬n lß║íc trß╗▒c tiß║┐p vß╗¢i nh├ón vi├¬n.,done,phong,16/4
47,,- T─âng giß║úm sß╗æ l╞░ß╗úng/ cß║¡p nhß║¡t sß║ún phß║⌐m,,Cß║ºn cß║úi thiß╗çn,"- ├ö nhß║¡p sß╗æ l╞░ß╗úng v├á n├║t ""Cß║¡p nhß║¡t"" rß╗¥i rß║íc
- Thay ─æß╗òi sß╗æ l╞░ß╗úng kh├┤ng tß╗▒ ─æß╗Öng nhß║úy tß╗òng tiß╗ün m├á phß║úi nhß║Ñn n├║t.","- T├¡ch hß╗úp AJAX ─æß╗â khi thay ─æß╗òi sß╗æ l╞░ß╗úng, hß╗ç thß╗æng tß╗▒ ─æß╗Öng cß║¡p nhß║¡t tß╗òng tiß╗ün v├á th├ánh tiß╗ün 
cß╗ºa sß║ún phß║⌐m ngay lß║¡p tß╗⌐c m├á kh├┤ng cß║ºn tß║úi lß║íi trang hoß║╖c nhß║Ñn n├║t ""Cß║¡p nhß║¡t"".",done,phong,15/4
48,,- X├│a sß║ún phß║⌐m ─æ├ú chß╗ìn,,Cß║ºn cß║úi thiß╗çn,- Thao t├íc x├│a diß╗àn ra ngay lß║¡p tß╗⌐c. L├ám cho ng╞░ß╗¥i d├╣ng dß╗à mß║Ñt dß╗» liß╗çu sß║ún phß║⌐m ─æ├ú chß╗ìn,"- Sß╗¡a n├║t hiß╗çn tß║íi th├ánh icon th├╣ng r├íc. 
- Th├¬m hß╗Öp thoß║íi x├íc nhß║¡n x├│a sß║ún phß║⌐m ─æ├ú chß╗ìn tr├ính mß║Ñt sß║ún phß║⌐m ─æ├ú chß╗ìn",done,phong,13/4
49,,- T├¡nh tß╗òng tiß╗ün,,Cß║ºn cß║úi thiß╗çn,"- Hiß╗ân thß╗ï ─æ├║ng nh╞░ng ch╞░a c├│ sß╗▒ ph├ón biß╗çt r├╡ r├áng vß╗ü font chß╗»/m├áu sß║»c 
─æß╗â l├ám nß╗òi bß║¡t sß╗æ tiß╗ün cuß╗æi c├╣ng.","- Thay ─æß╗òi m├áu sß║»c font chß╗» cß╗ºa phß║ºn tß╗òng tiß╗ün, l├ám nß╗òi bß║¡t phß║ºn quan trß╗ìng gi├║p giao diß╗çn dß╗à nh├¼n",done,phong,27/4
50,,- X├│a to├án bß╗Ö giß╗Å h├áng,,Cß║ºn cß║úi thiß╗çn,- Thiß║┐u hß╗Öp thoß║íi x├íc nhß║¡n x├│a to├án bß╗Ö giß╗Å.,- Th├¬m hß╗Öp thoß║íi x├íc nhß║¡n khi ß║Ñn n├║t x├│a to├án bß╗Ö tr├ính ng╞░ß╗¥i d├╣ng ß║Ñn nhß║ºm g├óy mß║Ñt hß║┐t sß║ún phß║⌐m ─æ├ú ─æß║╖t,done,phong,
51,,- Giao diß╗çn c├íc thß║╗ card v├á c├íc n├║t bß║Ñm,,Cß║ºn cß║úi thiß╗çn,"- C├íc n├║t bß║Ñm (X├│a, Cß║¡p nhß║¡t) thiß║┐t kß║┐ c├▓n th├┤.
- Ch╞░a c├│ hiß╗çu ß╗⌐ng hover hoß║╖c m├áu sß║»c ─æß║╖c tr╞░ng (Accent Color).","- Th├¬m M├áu nhß║Ñn (Accent Color) cho c├íc n├║t chß╗⌐c n─âng ─æß╗â t─âng t├¡nh sinh ─æß╗Öng, tr├ính tß║╗ nhß║ít.",done,phong,
52,Thanh to├ín,- Nhß║¡p th├┤ng tin giao h├áng ,,Cß║ºn cß║úi thiß╗çn,"- Form nhß║¡p liß╗çu c├▓n ─æ╞ín giß║ún, ch╞░a c├│ dropdown chß╗ìn Tß╗ënh/Th├ánh, thiß║┐u ─æß╗ïa chß╗ë ph╞░ß╗¥ng x├ú v├á ─æß╗ïa chß╗ë sß╗æ nh├á cß╗Ñ thß╗â","- Triß╗ân khai Dependent Dropdown cho bß╗Ö chß╗ìn Tß╗ënh/Th├ánh,  th├¬m ph╞░ß╗¥ng/x├ú v├á  c├íc ─æß╗ïa chß╗ë cß╗Ñ thß╗â ─æß╗â shop c├│ thß╗â giao h├áng ─æ├║ng ─æß╗ïa chß╗ë",done,phong,
53,,- N├║t chß╗ìn ph╞░╞íng thß╗⌐c thanh to├ín,,Cß║ºn cß║úi thiß╗çn,- C├íc n├║t Radio chß╗ìn ph╞░╞íng thß╗⌐c c├│ diß╗çn t├¡ch nhß║¡n sß╗▒ kiß╗çn hß║╣p (chß╗ë bß║Ñm ─æ├║ng v├áo v├▓ng tr├▓n mß╗¢i nhß║¡n),- Thay ─æß╗òi form tr├¬n Radio Button. Khi ng╞░ß╗¥i d├╣ng chß╗ìn v├áo ph╞░╞íng th├║c thanh to├ín phß║ºn ─æ╞░ß╗úc chß╗ìn sß║╜ ─æ╞░ß╗úc ─æß╗òi m├áu v├á b├¬n cß║ính c├│ 1 dß║Ñu t├¡ch m├áu xanh ─æß╗â x├íc nhß║¡n ,done,phong,
54,,- Voucher,,Th├¬m mß╗¢i,- Hiß╗çn tß║íi trang web ch╞░a c├│ chß╗⌐c n─âng n├áy trong ß╗⌐ng dß╗Ñng.,"- Voucher sß║╜ ─æ╞░ß╗úc hiß╗ân thß╗ï ß╗ƒ trang th├┤ng tin c├í nh├ón ─æß╗â ng╞░ß╗¥i xem c├│ thß╗â biß║┐t ─æ╞░ß╗úc sß╗æ l╞░ß╗úng voucher ─æang c├│ v├á ph├╣ hß╗úp. c├│ thß╗â th├¬m, chß╗ënh sß╗¡a  ß╗ƒ trong cß║ú giß╗Å h├áng v├á thanh to├ín.",done,canh,
55,,- Chß╗⌐c n─âng ─æß║╖t h├áng,,Cß║ºn cß║úi thiß╗çn,- Thao t├íc ─æß║╖t h├áng diß╗àn ra ngay lß║¡p tß╗⌐c. L├ám cho ng╞░ß╗¥i d├╣ng dß╗à thao t├íc nhß║ºm,- Th├¬m hß╗Öp thoß║íi x├íc nhß║¡n khi ß║Ñn n├║t thanh to├ín tr├ính ng╞░ß╗¥i d├╣ng ß║ºn nhß║ºm g├óy mß║Ñt thß╗¥i gian,done,phong,
56,,- Ph╞░╞íng thß╗⌐c thanh to├ín chuyß╗ân khoß║ún,,Th├¬m mß╗¢i,- Hiß╗çn tß║íi trang web ch╞░a c├│ chß╗⌐c n─âng n├áy trong ß╗⌐ng dß╗Ñng.,- Th├¬m m├ú QR ─æß╗â  kh├ích h├áng c├│ thß╗â chuyß╗ân khoß║ún v├á n├║t sao ch├⌐p nhanh th├┤ng tin t├ái khoß║ún cho kh├ích h├áng muß╗æn nhß║¡p tay.,done,phong,
57,,- Gß╗¡i mail khi x├íc nhß║¡n thanh to├ín th├ánh c├┤ng,,Th├¬m mß╗¢i,- Hiß╗çn tß║íi trang web ch╞░a c├│ chß╗⌐c n─âng n├áy trong ß╗⌐ng dß╗Ñng.,- T├¡ch hß╗úp t├¡nh n─âng gß╗¡i lß╗¥i cß║úm ╞ín v├á chi tiß║┐t ─æ╞ín h├áng ─æ├ú ─æß║╖t vß╗ü mail ng╞░ß╗¥i d├╣ng,done,phong,
58,,- Ghi ch├║,,─Éß║ít y├¬u cß║ºu,- Ho├án th├ánh,- Ng╞░ß╗¥i d├╣ng c├│ thß╗â ─æß╗â lß║íi nhß╗»ng l╞░u ├╜ khi giao h├áng cho shop,done,phong,
59,─É╞ín h├áng ,- Lß╗ïch sß╗¡ ─æ╞ín h├áng,,Cß║ºn cß║úi thiß╗çn,"- Danh s├ích hiß╗ân thß╗ï dß║íng bß║úng th├┤, thiß║┐u trß╗▒c quan. 
- Kh├│ ph├ón biß╗çt c├íc trß║íng th├íi ─æ╞ín h├áng nhanh bß║▒ng mß║»t.","- Chuyß╗ân sang dß║íng Order Cards. Sß╗¡ dß╗Ñng m├áu sß║»c: Cam (Chß╗¥ xß╗¡ l├╜), Xanh l├í (─É├ú giao), ─Éß╗Å (─É├ú hß╗ºy), l├ám nß╗òi bß║¡t tß╗òng tiß╗ün bß║▒ng font Bold/Size lß╗¢n.",done,phong,
60,,- Chi tiß║┐t ─æ╞ín h├áng,,Cß║ºn cß║úi thiß╗çn,- Ng╞░ß╗¥i d├╣ng kh├┤ng biß║┐t ─æ╞ín h├áng ─æang ß╗ƒ b╞░ß╗¢c n├áo trong quy tr├¼nh vß║¡n chuyß╗ân.,- T├¡ch hß╗úp c├íc thanh trß║íng th├íi. ─Éß╗òi m├áu trß║íng th├íi t╞░╞íng ß╗⌐ng v├á ph├│ng to sß╗æ tiß╗ün thanh to├ín ─æß╗â dß╗à ─æß╗æi so├ít.,done,phong,
61,,- ─Éß║╖t lß║íi ─æ╞ín h├áng ─æ├ú giao,,Th├¬m mß╗¢i,- Hiß╗çn tß║íi trang web ch╞░a c├│ chß╗⌐c n─âng n├áy trong ß╗⌐ng dß╗Ñng.,"- T├¡ch hß╗úp chß╗⌐c n─âng ─æß║╖t h├áng lß║íi cho ─æ╞ín h├áng ─æ├ú giao, gi├║p tiß║┐t kiß╗çm thß╗¥i gian cho kh├ích h├áng.",done,phong,
62,,- Hß╗ºy ─æ╞ín h├áng,,Cß║ºn cß║úi thiß╗çn,"- Thao t├íc hß╗ºy ─æ╞ín diß╗àn ra ngay lß║¡p tß╗⌐c, dß╗à g├óy nhß║ºm lß║½n v├á mß║Ñt dß╗» liß╗çu.","- Th├¬m Confirmation Modal (Hß╗Öp thoß║íi x├íc nhß║¡n) tr╞░ß╗¢c khi thß╗▒c thi lß╗çnh Hß╗ºy. Hiß╗ân thß╗ï l├╜ do hß╗ºy ─æ╞ín (nß║┐u cß║ºn), tr├ính ng╞░ß╗¥i d├╣ng thao t├íc nhß║ºm dß║½n ─æß║┐n hß╗ºy ─æ╞ín kh├┤ng mong muß╗æn",done,phong,
63,Tin tß╗⌐c,- Danh s├ích tin,,Cß║ºn cß║úi thiß╗çn,"- C├íc thß║╗ tin tß╗⌐c (news-card) c├│ k├¡ch th╞░ß╗¢c ß║únh ─æß║íi diß╗çn kh├┤ng ─æß╗ông nhß║Ñt, ch╞░a c├│ hiß╗çu ß╗⌐ng ─æß╗ò b├│ng hoß║╖c ph├│ng to khi di chuß╗Öt v├áo.",- Th├¬m hiß╗çu ß╗⌐ng hover cho thß║╗ tin (news-card) v├á ─æß╗ông nhß║Ñt k├¡ch th╞░ß╗¢c ß║únh ─æß║íi diß╗çn (thumbnail). Th├¬m nhiß╗üu b├ái viß║┐t h╞ín.,done,phong,
64,,- Chi tiß║┐t tin,,Cß║ºn cß║úi thiß╗çn,"- V─ân bß║ún qu├í d├áy ─æß║╖c, kh├│ ─æß╗ìc (Line-height thß║Ñp). Bß╗æ cß╗Ñc bß╗ï co cß╗Ñm hoß║╖c qu├í lo├úng ß╗ƒ hai b├¬n.
","- C─ân chß╗ënh lß║íi ─æß╗Ö rß╗Öng cß╗ºa khung b├ái viß║┐t v├á gi├ún khoß║úng c├ích giß╗»a c├íc d├▓ng chß╗» cho tho├íng, dß╗à ─æß╗ìc h╞ín. ─Éß╗ông thß╗¥i, th├¬m thanh hiß╗ân thß╗ï ─æ╞░ß╗¥ng dß║½n v├á mß╗Öt cß╗Öt b├¬n cß║ính ─æß╗â cß║¡p nhß║¡t tin tß╗⌐c mß╗¢i.",done,phong,
65,,- N├║t quay vß╗ü danh s├ích tin,,Th├¬m mß╗¢i,- Hiß╗çn tß║íi trang web ch╞░a c├│ chß╗⌐c n─âng n├áy trong ß╗⌐ng dß╗Ñng.,"- Th├¬m mß╗Öt n├║t (buttom) c├│ chß╗⌐c n─âng quay vß╗ü trang danh s├ích tin tß╗⌐c, gi├║p ng╞░ß╗¥i ─æß╗ìc c├│ thß╗â xem tiß║┐p c├íc tin tß╗⌐c tiß║┐p theo m├á kh├┤ng bß╗ï tr├┤i tin",done,phong,
66,,- T├¼m kiß║┐m tin tß╗⌐c li├¬n quan,,Cß║ºn cß║úi Thiß╗çn,- Lß╗ùi format hiß╗ân thß╗ï kß║┐t quß║ú v├á t├¡nh n─âng t├¼m kiß║┐m ch╞░a hoß║ít ─æß╗Öng ch├¡nh x├íc.,"- Fix lß╗ùi Logic t├¼m kiß║┐m (Backend). Th├¬m bß╗Ö lß╗ìc (Filter) theo tß╗½ kh├│a v├á hiß╗ân thß╗ï trß║íng th├íi ""Kh├┤ng t├¼m thß║Ñy kß║┐t quß║ú"" th├ón thiß╗çn.",done,phong,
67,,- Danh mß╗Ñc tin tß╗⌐c,,Th├¬m mß╗¢i,- Hiß╗çn tß║íi trang web ch╞░a c├│ chß╗⌐c n─âng n├áy trong ß╗⌐ng dß╗Ñng.,"- Th├¬m c├íc n├║t( buttom) ng├áy/ th├íng/ n─âm, th├¬m t├¡nh n─âng Archive (L╞░u trß╗») ph├ón loß║íi theo ng├áy/ th├íng/ n─âm v├á Tags theo chß╗º ─æß╗ü tin tß╗⌐c.",done,phong,
68,,- B├¼nh luß║¡n,,Th├¬m mß╗¢i,- Hiß╗çn tß║íi trang web ch╞░a c├│ chß╗⌐c n─âng n├áy trong ß╗⌐ng dß╗Ñng.,"- Th├¬m 1 Comment Section gi├║p ng╞░ß╗¥i d├╣ng c├│ thß╗â nhß║¡n x├⌐t vß╗ü sß║ún phß║⌐m, c├│ thß╗â l╞░u tin hoß║╖c chia sß║╗ tin tß╗⌐c cho ng╞░ß╗¥i kh├íc",done,phong,
69,Quß║ún trß╗ï admin,Dashboard,- Bß║úng ─æ╞ín h├áng gß║ºn ─æ├óy ,Cß║úi thiß╗çn,- Hß╗ç thß╗æng ─æang lß║Ñy to├án bß╗Ö dß╗» liß╗çu rß╗ôi lß║Ñy 6 ─æ╞ín ─æß║ºu ti├¬n ─æß╗â hiß╗çn thß╗ï,"- Tß╗æi ╞░u truy vß║Ñn ─æß╗â hß╗ç thß╗æng chß╗ë lß║Ñy vß╗½a ─æß╗º dß╗» liß╗çu, kh├┤ng tß║úi thß╗½a",done,canh,20/4
70,,,- Biß╗âu ─æß╗ô doanh thu 7 ng├áy,Cß║⌐n cß║úi thiß╗çn,"- Form biß╗âu ─æß╗ô c├▓n rß║Ñt c╞í bß║ún, m├áu sß║»c ch╞░a ─æ╞░ß╗úc chß╗ënh sß╗¡a, phß║ºn dß╗» liß╗çu hiß╗çn c├íc con sß╗æ nguy├¬n th├┤ng th╞░ß╗¥ng (VD:1200000)","- Phß╗æi lß║íi m├áu sß║»c hiß╗ân thß╗ï biß╗âu ─æß╗ô ─æß║╣p h╞ín vß╗¢i m├áu, sß╗æ tiß╗ün ─æß╗ïnh dß║íng ""1.200.000 VN─É""
",done,canh,20/4
71,,,- Thß╗æng k├¬ trß║íng th├íi ─æ╞ín h├áng ,Cß║⌐n cß║úi thiß╗çn,"- Giao diß╗çn hiß╗ân thß╗ï m├ú m├áu x├ím/xanh c╞í bß║ún cho tß║Ñt cß║ú c├íc trß║íng th├íi nh╞░ ""Chß╗¥ xß╗¡ l├╜"", ""─É├ú thanh to├ín"", ""─É├ú hß╗ºy"" ch╞░a tß║ío ─æ╞░ß╗úc ─æiß╗âm nhß║Ñn cho c├íc th├┤ng tin quan trß╗ìng ","- Thiß║┐t lß║¡p mß╗ùi trß║íng th├íi c├│ 1 m├áu ri├¬ng biß╗çt t╞░╞íng ß╗⌐ng vß╗¢i tß╗½ng cß║Ñp ─æß╗Ö: Chß╗¥ xß╗¡ l├╜: M├áu v├áng/cam, ─É├ú thanh to├ín: M├áu xanh d╞░╞íng, ─Éang giao: M├áu xanh l├í, ─É├ú hß╗ºy: M├áu ─æß╗Å ",done,canh,20/4
72,,Quß║ún l├¡ sß║ún phß║⌐m,- Upload ß║únh sß║ún phß║⌐m ,Cß║⌐n cß║úi thiß╗çn,"- Admin kh├┤ng c├│ thß║╗ chß╗ìn file. Admin ─æang phß║úi l├¬n mß║íng t├¼m ß║únh, lß║Ñy link URL copy v├á d├ín v├áo ├┤ TextBox. ","- Th├¬m n├║t ""Chß╗ìn ß║únh"" ─æß╗â upload file trß╗▒c tiß║┐p tß╗½ m├íy t├¡nh",done,canh,28/4
73,,,- Th├¬m ,Cß║⌐n cß║úi thiß╗çn,"- C├│ button th├¬m sß║ún phß║⌐m, c├│ gß╗ìi h├ám openAddModal() trong JS nh╞░ng modal ─æ─âng k├¡ form kh├┤ng xß╗ò ra, hoß║╖c bß╗ï ─æß╗⌐ng do conflict","- Gß╗í lß╗ùi logic, ─æß║úm bß║úo khi ß║Ñn n├║t th├¬m sß║ún phß║⌐m c├│ hiß╗çn thß╗ï form ho├án chß╗ënh v├á ─æ╞░ß╗úc cß║¡p nhß║¡t v├áo DB",done,canh,12/5
74,,,- Chß╗ënh sß╗¡a,Cß║⌐n cß║úi thiß╗çn,- C├│ button chß╗ënh sß╗¡a hiß╗ân thß╗ï form chß╗ënh sß╗¡a nh╞░ng khi ß║Ñn l╞░u th├¼ dß╗» liß╗çu ch╞░a ─æ╞░ß╗úc cß║¡p nhß║¡t tr├¬n DB,- C├│ button chß╗ënh sß╗¡a hiß╗ân thß╗ï form chß╗ënh sß╗¡a nh╞░ng khi ß║Ñn l╞░u th├¼ dß╗» liß╗çu ch╞░a ─æ╞░ß╗úc cß║¡p nhß║¡t tr├¬n DB,,,
75,,,- X├│a ,Cß║⌐n cß║úi thiß╗çn,"- Khi x├│a sß║ún phß║⌐m, hß╗ç thß╗æng x├│a khß╗Åi DB m├á kh├┤ng kiß╗âm tra - nß║┐u sß║ún phß║⌐m ─æ├│ c├▓n ─æang nß║▒m trong giß╗Å h├áng cß╗ºa kh├ích hoß║╖c c├│ trong ─æ╞ín h├áng c┼⌐, hß╗ç thß╗æng sß║╜ b├ío lß╗ùi","- Kh├┤ng cho x├│a trß╗▒c tiß║┐p - thay bß║▒ng t├¡nh n─âng ß║⌐n sß║ún phß║⌐m, hoß║╖c th├┤ng b├ío r├╡ tr╞░ß╗¢c khi x├│a ",,,
76,,,- ß║¿n ,─Éß║ít y├¬u cß║ºu,- Chß╗⌐c n─âng ß║⌐n sß║ún phß║⌐m thay v├¼ x├│a ho├án to├án khß╗Åi Database. Dß╗» liß╗çu c├íc ─æ╞ín h├áng ─æ├ú ─æß║╖t sß║ún phß║⌐m n├áy kh├┤ng bß╗ï ß║únh h╞░ß╗ƒng.,- Duy tr├¼ luß╗ông logic n├áy thay cho thao t├íc x├│a ─æß╗â ─æß║úm bß║úo dß╗» liß╗çu lß╗ïch sß╗¡ kh├┤ng bß╗ï lß╗ùi.,,,
77,,Quß║ún l├¡ danh mß╗Ñc,- Th├¬m ,─Éß║ít y├¬u cß║ºu,- Ho├án th├ánh,"- T╞░╞íng t├íc vß╗¢i form Th├¬m th├┤ng tin danh mß╗Ñc, l╞░u dß╗» liß╗çu ch├¡nh x├íc v├áo Database",,,
78,,,- Chß╗ënh sß╗¡a ,─Éß║ít y├¬u cß║ºu,- Ho├án th├ánh,"- T╞░╞íng t├íc vß╗¢i form Sß╗¡a th├┤ng tin danh mß╗Ñc, l╞░u dß╗» liß╗çu ch├¡nh x├íc v├áo Database",,,
79,,,- X├│a ,Cß║⌐n cß║úi thiß╗çn,"- Khi x├│a danh mß╗Ñc, nß║┐u c├│ sß║ún phß║⌐m thuß╗Öc danh mß╗Ñc ─æ├│ th├¼ DB b├ío lß╗ùi nh╞░ng th├┤ng b├ío cho admin l├á ""Kh├┤ng thß╗â x├│a, c├│ thß╗â ─æang ─æ╞░ß╗úc sß╗¡ dung"" - kh├┤ng biß║┐t bao nhi├¬u sß║ún phß║⌐m bß╗ï ß║únh h╞░ß╗ƒng","- Hiß╗ân thß╗ï r├╡ ""Danh mß╗Ñc n├áy ─æang c├│ X sß║ún phß║⌐m, vui l├▓ng chuyß╗ân sß║ún phß║⌐m sang danh mß╗Ñc 
kh├íc tr╞░ß╗¢c""",,,
80,,,"- Cß║¡p nhß║¡t menu ngo├ái shop sau khi sß╗¡a 
danh mß╗Ñc",Cß║⌐n cß║úi thiß╗çn,"- Sau khi admin th├¬m/sß╗¡a/x├│a danh mß╗Ñc th├ánh c├┤ng, menu ─æiß╗üu h╞░ß╗¢ng ngo├ái trang shop vß║½n hiß╗ân thß╗ï dß╗» liß╗çu c┼⌐ tß╗¢i 5 ph├║t sau (do cache)",- Tß╗▒ ─æß╗Öng cß║¡p nhß║¡t menu ngay khi admin l╞░u thay ─æß╗òi ,,,
81,,Quß║ún l├¡ th╞░╞íng hiß╗çu (brand),- Th├¬m ,Cß║⌐n cß║úi thiß╗çn,"- Admin chß╗ë nhß║¡p URL logo, kh├┤ng c├│ chß╗⌐c n─âng upload file","- Th├¬m n├║t ""Chß╗ìn ß║únh"" ─æß╗â upload file trß╗▒c tiß║┐p tß╗½ m├íy t├¡nh",,,
